metric,c_0_mean,c_0_std,c_1_mean,c_1_std,c_2_mean,c_2_std,c_4_mean,c_4_std
Threat count,15.8,0.8366600265340756,47.4,7.334848328356899,84.6,22.187834504520715,79.2,16.037456157383563
ATM recall,0.225,0.03423265984407288,0.4125,0.10458250331675945,0.775,0.09478594305064438,0.9125,0.03423265984407288
ATM hallucination rate,0.0,0.0,0.0035714285714285713,0.007985957062499249,0.0,0.0,0.0,0.0
Structural coverage,0.41428571428571426,0.046413306403852196,0.4666666666666666,0.021295885499997995,0.9952380952380953,0.01064794274999901,1.0,0.0
STRIDE validity,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Treatment validity,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Mean risk value,3.6031372549019607,0.21719907304543332,3.284888084888085,0.11710782943143665,3.3681801047456505,0.06914559914724508,3.811486302303394,0.08843707610409027
% High/Critical,0.5294117647058824,0.08266764827383498,0.39196681696681696,0.04175567708826574,0.4362610592502671,0.06751663458118352,0.6844725364590432,0.04522322771132064
"EARS conformance (per-threat; 0.0 for c_4, see note)",1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Goal count,,,,,,,75.4,15.820872289478858
Goal EARS conformance,,,,,,,1.0,0.0
Goal traceability completeness,,,,,,,1.0,0.0
n_runs,5,,5,,5,,5,
treatment_count_Reduce,48,,233,,413,,377,
treatment_count_Retain,30,,4,,10,,19,
treatment_count_Share,1,,0,,0,,0,
treatment_count_Avoid,0,,0,,0,,0,
